SoilTestPhosphorousKelownaRangeId,SoilTestPhosphorousRegionCode,PhosphorousCropGroupRegionCode,P2O5RecommendationKilogramPerHectare,StaticDataVersionId
11,1,3,15,14
11,1,4,20,14
11,1,5,25,14
11,1,6,0,14
11,2,1,10,14
11,2,2,15,14
11,2,3,20,14
11,2,4,25,14
11,2,5,30,14
11,2,6,0,14
11,3,1,10,14
11,3,2,15,14
11,3,3,20,14
11,3,4,25,14
11,3,5,30,14
11,3,6,0,14
12,1,1,0,14
12,1,2,0,14
12,1,3,0,14
12,1,4,0,14
12,1,5,0,14
12,1,6,0,14
12,2,1,0,14
12,2,2,0,14
12,2,3,0,14
12,2,4,0,14
12,2,5,0,14
12,2,6,0,14
12,3,1,0,14
12,3,2,0,14
12,3,3,0,14
12,3,4,0,14
12,3,5,0,14
12,3,6,0,14
